institution,course_name,url,badges,also_offered_with_languages,partner_subjects,raw_variant_count
UEA,BA (hons) global development,https://www.uea.ac.uk/course/undergraduate/ba-global-development-with-a-foundation-year/2025-26/sep,Foundation year,,,2
UEA,BA (hons) international relations with a year abroad,https://www.uea.ac.uk/course/undergraduate/ba-international-relations-with-a-year-abroad/2025-26/sep,Year abroad,,,1
UEA,BA (hons) international relations with a placement year,https://www.uea.ac.uk/course/undergraduate/ba-international-relations-with-a-placement-year/2025-26/sep,Sandwich year,,,1
UEA,BA (hons) global development with politics,https://www.uea.ac.uk/course/undergraduate/ba-global-development-with-politics/2025-26/sep,,,,1
UEA,BA (hons) global development with a year abroad,https://www.uea.ac.uk/course/undergraduate/ba-global-development-with-a-year-abroad/2025-26/sep,Year abroad,,,1
UEA,BA (hons) global development with a placement year,https://www.uea.ac.uk/course/undergraduate/ba-global-development-with-a-placement-year/2025-26/sep,Sandwich year,,,1
UEA,BA (hons) global development with politics with a year abroad,https://www.uea.ac.uk/course/undergraduate/ba-global-development-with-politics-with-a-year-abroad/2025-26/sep,Year abroad,,,1
UEA,BA (hons) politics,https://www.uea.ac.uk/course/undergraduate/ba-politics/2025-26/sep,,,,1
UEA,BA (hons) international relations & politics with a placement year,https://www.uea.ac.uk/course/undergraduate/ba-international-relations-and-politics-with-a-placement-year/2025-26/sep,Sandwich year,,,1
UEA,BA (hons) international relations,https://www.uea.ac.uk/course/undergraduate/ba-international-relations/2025-26/sep,,,,1
UEA,BA (hons) international relations & politics,https://www.uea.ac.uk/course/undergraduate/ba-international-relations-and-politics/2025-26/sep,,,,1
UEA,BA (hons) international relations & politics with a year abroad,https://www.uea.ac.uk/course/undergraduate/ba-international-relations-and-politicswith-a-year-abroad/2025-26/sep,Year abroad,,,1
UEA,BA (hons) global development with politics with a placement year,https://www.uea.ac.uk/course/undergraduate/ba-global-development-with-politics-with-a-placement-year/2025-26/sep,Sandwich year,,,1
UEA,BSc (hons) sustainable development,https://www.uea.ac.uk/course/undergraduate/bsc-sustainable-development/2025-26/sep,,,,1
UEA,BSc (hons) sustainable development with a year abroad,https://www.uea.ac.uk/course/undergraduate/bsc-sustainable-development-with-a-year-abroad/2025-26/sep,Year abroad,,,1
UEA,BSc (hons) sustainable development with a placement year,https://www.uea.ac.uk/course/undergraduate/bsc-sustainable-development-with-a-placement-year/2025-26/sep,Sandwich year,,,1
UEA,BA (hons) international relations & modern language,https://www.uea.ac.uk/course/undergraduate/ba-international-relations-and-modern-language/2025-26/sep,Year abroad,,modern language,1
Kent,BA (hons) politics & international relations with a year in continental Europe,https://www.kent.ac.uk/courses/undergraduate/2025/40/politics-and-international-relations-with-a-year-in-continental-europe,Year abroad,,,1
Kent,BA (hons) politics & international relations with a year in the asia-pacific,https://www.kent.ac.uk/courses/undergraduate/2025/2494/politics-and-international-relations-with-a-year-in-asia-pacific,Year abroad,,,1
Kent,BA (hons) politics & international relations,https://www.kent.ac.uk/courses/undergraduate/2025/31/politics-and-international-relations,,,,1
Kent,BA (hons) politics & international relations with a year in north America,https://www.kent.ac.uk/courses/undergraduate/2025/393/politics-and-international-relations-with-a-year-in-north-america,Year abroad,,,1
London Met,BA (hons) international relations & politics,http://www.londonmet.ac.uk/courses/undergraduate/international-relations-and-politics---ba-hons/,Foundation year,,,1
London Met,BA (hons) international relations,http://www.londonmet.ac.uk/courses/undergraduate/international-relations---ba-hons/,Foundation year,,,1
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,"Foundation year, Sandwich year",,law,1
Edinburgh,MA (hons) international relations,https://www.ed.ac.uk/ug/L250,Year abroad,,,1
Edinburgh,MA (hons) politics,https://www.ed.ac.uk/ug/L200,Year abroad,"Arabic, French, German, Italian, Russian, Scandinavian, Spanish",,8
Edinburgh,MA (hons) sociology & politics,https://www.ed.ac.uk/ug/LL32,Year abroad,,sociology,1
Edinburgh,LLB (hons) law & international relations,https://www.ed.ac.uk/ug/ML1F,Year abroad,,law,1
Edinburgh,LLB (hons) law & politics,https://www.ed.ac.uk/ug/ML12,Year abroad,,law,1
